,level_0,index,URLS,Title,OverAll,Time,Rank,
35,35,867,https://www.tripadvisor.com//Attraction_Review-g293995-d3653760-Reviews-Salam_Mall-Riyadh_Riyadh_Province.html,['Salam Mall'],['4.0 of 5 bubbles. 17 reviews'],9AM–11:30PM,['#44,88 things to do in Riyadh']
36,36,873,https://www.tripadvisor.com//Attraction_Review-g293995-d9461498-Reviews-Naila_Art_Gallery-Riyadh_Riyadh_Province.html,['Naila Art Gallery'],['4.5 of 5 bubbles. 16 reviews'],['10:00 AM - 10:00 PM'],['#34,88 things to do in Riyadh']
37,37,879,https://www.tripadvisor.com//Attraction_Review-g293995-d13944248-Reviews-Haraj_Ibn_Qasim-Riyadh_Riyadh_Province.html,['Haraj Ibn Qasim'],['3.5 of 5 bubbles. 6 reviews'],9AM–11PM,['#61,88 things to do in Riyadh']
38,38,885,https://www.tripadvisor.com//Attraction_Review-g293995-d12791561-Reviews-King_Abdullah_Road_Walk-Riyadh_Riyadh_Province.html,['King Abdullah Road Walk'],['4.0 of 5 bubbles. 15 reviews'],24 hours,['#41,88 things to do in Riyadh']
40,40,894,https://www.tripadvisor.com//Attraction_Review-g293995-d3653759-Reviews-Khurais_Mall-Riyadh_Riyadh_Province.html,['Khurais Mall'],['4.0 of 5 bubbles. 20 reviews'],9AM–1AM,['#40,88 things to do in Riyadh']
41,41,900,https://www.tripadvisor.com//Attraction_Review-g293995-d7269162-Reviews-Al_Rawda_Park-Riyadh_Riyadh_Province.html,['Al Rawda Park'],['3.5 of 5 bubbles. 31 reviews'],24 hours,['#43,88 things to do in Riyadh']
42,42,906,https://www.tripadvisor.com//Attraction_Review-g293995-d11657861-Reviews-Al_Ma_athar_Cave_Park-Riyadh_Riyadh_Province.html,"[""Al Ma'athar Cave Park""]",['4.0 of 5 bubbles. 17 reviews'],24 hours,['#32,88 things to do in Riyadh']
43,43,912,https://www.tripadvisor.com//Attraction_Review-g293995-d3653761-Reviews-Sahara_Plaza-Riyadh_Riyadh_Province.html,['Sahara Plaza'],['3.5 of 5 bubbles. 15 reviews'],9AM–1AM,['#45,88 things to do in Riyadh']
44,44,918,https://www.tripadvisor.com//Attraction_Review-g293995-d19977039-Reviews-Qasr_Mall-Riyadh_Riyadh_Province.html,['Qasr Mall'],['3.5 of 5 bubbles. 3 reviews'],['9:00 AM - 12:00 AM'],['#66,88 things to do in Riyadh']
45,45,924,https://www.tripadvisor.com//Attraction_Review-g293995-d8732472-Reviews-Prince_Faisal_Bin_Bandar_Park-Riyadh_Riyadh_Province.html,['Prince Faisal Bin Bandar Park'],['4.0 of 5 bubbles. 11 reviews'],24 hours,['#42,88 things to do in Riyadh']
